OriginalName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	canonicalName	authorship	usageKey	acceptedUsageKey
Malpolon  monspessulanus	Malpolon monspessulanus (Hermann, 1804)	8796529	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Squamata		Psammophiidae	Malpolon	Malpolon monspessulanus	Malpolon monspessulanus	(Hermann, 1804) 	8796529	
Malpolon insignitus	Malpolon insignitus (Geoffroy Saint-Hilaire, 1827)	5959662	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Squamata		Psammophiidae	Malpolon	Malpolon insignitus	Malpolon insignitus	(Geoffroy Saint-Hilaire, 1827) 	5959662	
Mammalia	Mammalia	359	EXACT	96	ACCEPTED	CLASS	Animalia	Chordata	Mammalia					Mammalia		359	
Martes foina	Martes foina (Erxleben, 1777)	5218887	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes foina	Martes foina	(Erxleben, 1777) 	5218887	
Motacilla alba	Motacilla alba Linnaeus, 1758	9687165	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	Motacilla alba	Motacilla alba	Linnaeus, 1758	9687165	
Motacilla flava	Motacilla flava Linnaeus, 1758	9701857	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	Motacilla flava	Motacilla flava	Linnaeus, 1758	9701857	
Muridae	Muridae	5510	EXACT	96	ACCEPTED	FAMILY	Animalia	Chordata	Mammalia	Rodentia	Muridae			Muridae		5510	
Mus	Mus Linnaeus, 1758	9800657	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus		Mus		9800657	
Mus musculus	Mus musculus Linnaeus, 1758	7429082	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	Mus musculus	Linnaeus, 1758	7429082	
Mustela	Mustela Linnaeus, 1758	2433922	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela		Chordata		44	
Mustela nivalis	Mustela nivalis Linnaeus, 1766	5218987	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela nivalis	Mustela nivalis	Linnaeus, 1766	5218987	
Mustela putorius	Mustela putorius Linnaeus, 1758	5218911	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela putorius	Mustela putorius	Linnaeus, 1758	5218911	
Myotis	Myotis Kaup, 1829	2432384	EXACT	96	ACCEPTED	GENUS	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		Myotis	Kaup, 1829	2432384	
Natrix  natrix	Natrix natrix (Linnaeus, 1758)	6161347	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Squamata		Colubridae	Natrix	Natrix natrix	Natrix natrix	(Linnaeus, 1758) 	6161347	
Natrix tesselata	Natrix tessellata (Laurenti, 1768)	6161327	FUZZY	98	ACCEPTED	SPECIES	Animalia	Chordata	Squamata		Colubridae	Natrix	Natrix tessellata	Natrix tessellata	(Laurenti, 1768) 	6161327	
Oenanthe	Oenanthe Vieillot, 1816	2492483	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Oenanthe		Oenanthe	Vieillot, 1816	2492483	
Parus	Parus Linnaeus, 1758	2487923	EXACT	96	ACCEPTED	GENUS	Animalia	Chordata	Aves	Passeriformes	Paridae	Parus		Parus	Linnaeus, 1758	2487923	
Parus major	Parus major Linnaeus, 1758	9705453	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Paridae	Parus	Parus major	Parus major	Linnaeus, 1758	9705453	
Parus montanus	Parus montanus Conrad von Baldenstein, 1827	4409010	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Paridae	Parus	Parus montanus	Parus montanus	Conrad von Baldenstein, 1827	4409010	
Parus palustris	Parus palustris Linnaeus, 1758	8126684	EXACT	100	SYNONYM	SPECIES	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	Poecile palustris	Parus palustris	Linnaeus, 1758	8126684	2487843
Passer	Passer Brisson, 1760	2492321	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer		Chordata		44	
Passer domesticus	Passer domesticus (Linnaeus, 1758)	5231190	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	Passer domesticus	Passer domesticus	(Linnaeus, 1758) 	5231190	
Passer montanus	Passer montanus (Linnaeus, 1758)	5231198	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	Passer montanus	Passer montanus	(Linnaeus, 1758) 	5231198	
Passeriformes	Passeriformes	729	EXACT	95	ACCEPTED	ORDER	Animalia	Chordata	Aves	Passeriformes				Passeriformes		729	
Pelobates syriacus	Pelobates syriacus Boettger, 1889	2430566	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Amphibia	Anura	Pelobatidae	Pelobates	Pelobates syriacus	Pelobates syriacus	Boettger, 1889	2430566	
Peloes syriacus	Pelobates syriacus Boettger, 1889	2430566	FUZZY		ACCEPTED	SPECIES	Animalia	Chordata	Amphibia	Anura	Pelobatidae	Pelobates	Pelobates syriacus	Pelobates syriacus	Boettger, 1889	2430566	
Phoenicurus ochruros	Phoenicurus ochruros (S.G.Gmelin, 1774)	5739315	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Phoenicurus	Phoenicurus ochruros	Phoenicurus ochruros	(S.G.Gmelin, 1774) 	5739315	
Phylloscopus	Phylloscopus F.Boie, 1826	2493047	EXACT	96	ACCEPTED	GENUS	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus		Phylloscopus	F.Boie, 1826	2493047	
Pipistrellus	Pipistrellus Kaup, 1829	2432218	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus		Pipistrellus		2432218	
Podarcis	Podarcis Wagler, 1830	2468993	EXACT	96	ACCEPTED	GENUS	Animalia	Chordata	Squamata		Lacertidae	Podarcis		Podarcis	Wagler, 1830	2468993	
Podarcis  erhardii	Podarcis erhardii (Bedriaga, 1882)	2469075	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis erhardii	Podarcis erhardii	(Bedriaga, 1882) 	2469075	
Podarcis  taurica	Podarcis tauricus (Pallas, 1814)	2469065	FUZZY	98	ACCEPTED	SPECIES	Animalia	Chordata	Squamata		Lacertidae	Podarcis	Podarcis tauricus	Podarcis tauricus	(Pallas, 1814) 	2469065	
